patient_id,EGFR,KRAS,ALK,ROS1,TP53,STK11,KEAP1,PTEN,BRAF,PIK3CA,NFE2L2,MET,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040
PT0011,12.74,8.364,4.412,11.449,3.658,18.466,8.882,6.629,20.45,6.951,5.784,11.111,10.724,15.99,28.488,17.387,6.053,5.682,2.873,6.304,18.849,3.077,4.392,8.342,18.683,10.296,14.951,5.641,4.499,10.811,3.116,21.998,7.027,8.245,7.159,3.397,2.883,7.891,3.706,7.388,5.038,2.901,4.46,3.326,4.504,5.861,9.101,18.784,8.957,6.207,14.427,2.996
PT0012,19.594,5.113,11.218,3.228,12.904,7.727,15.061,12.669,8.903,10.022,11.483,9.016,3.432,11.851,8.545,4.332,4.619,5.705,2.827,12.083,7.424,16.882,5.702,9.389,10.103,8.336,13.924,5.874,6.234,8.057,8.079,5.862,6.021,12.892,20.505,7.542,22.874,10.639,12.326,3.991,11.856,13.574,7.717,7.474,5.57,5.513,3.745,16.471,10.439,7.404,6.348,5.044
PT0013,8.065,10.145,11.594,9.008,5.684,11.551,17.53,11.996,15.168,15.682,3.778,7.753,6.278,3.039,6.368,7.102,13.798,6.33,5.33,11.965,5.544,8.452,5.973,5.978,8.36,5.411,11.071,19.592,4.425,7.69,3.622,9.193,3.032,7.633,22.134,8.19,3.819,5.981,3.317,12.018,17.461,10.273,13.431,9.472,9.292,4.958,5.989,5.708,28.974,10.759,9.866,7.277
PT0014,5.358,8.597,27.525,5.69,6.493,5.608,12.782,18.235,15.524,4.946,6.804,11.017,9.671,21.929,5.165,5.878,6.811,16.475,7.973,4.623,8.627,10.647,13.105,6.949,12.463,8.096,10.11,10.82,6.242,13.102,7.487,7.161,10.145,12.661,8.735,9.96,3.599,4.249,2.969,16.286,6.272,8.456,17.208,11.85,3.911,16.541,7.701,9.59,5.976,6.324,15.744,7.77
PT0015,13.616,7.875,6.671,12.626,17.908,9.299,7.788,2.855,9.877,2.512,4.237,10.613,6.826,16.878,4.566,17.116,18.565,8.018,17.789,13.564,19.659,17.491,4.517,8.916,5.414,6.06,25.231,5.331,6.506,10.035,4.081,8.117,19.423,7.146,6.533,5.404,7.971,12.138,4.171,4.239,5.573,4.059,3.499,7.208,8.733,5.697,10.499,9.529,11.283,9.25,9.913,12.57
PT0016,9.732,9.454,16.135,7.675,7.326,17.32,5.835,8.524,9.899,11.041,11.73,14.778,5.735,4.407,10.646,6.384,4.147,8.517,9.059,6.176,7.906,9.318,5.443,4.768,12.553,10.085,4.34,8.791,27.433,3.174,7.27,8.861,17.375,14.584,10.615,10.441,12.663,13.049,11.031,5.827,12.887,7.241,9.929,4.861,11.476,7.829,9.788,4.445,5.638,5.477,6.019,15.216
PT0017,10.126,10.617,4.023,6.803,10.053,9.685,4.404,5.877,5.109,10.576,2.553,5.486,8.027,8.646,1.871,3.293,6.225,3.5,4.569,5.134,5.194,16.66,3.211,12.402,7.043,4.461,5.605,3.302,4.445,8.349,5.188,7.336,6.695,9.379,15.385,5.203,11.972,8.485,8.262,4.144,9.978,10.437,14.885,20.888,7.307,4.417,10.595,8.077,7.053,2.688,2.531,7.093
PT0018,7.887,6.771,5.577,7.89,7.305,9.539,4.585,4.674,7.078,6.547,5.826,9.704,15.966,3.792,6.748,7.274,5.335,7.954,5.855,6.243,8.471,2.326,7.905,20.723,6.489,4.675,21.794,5.062,10.214,6.814,14.119,7.663,4.801,6.195,18.208,4.591,4.825,6.563,6.565,4.118,16.015,2.747,7.328,7.41,3.642,21.286,8.45,8.531,7.414,7.783,3.866,7.761
PT0019,23.014,7.435,5.224,8.833,11.016,3.003,20.742,7.666,5.428,5.89,10.12,10.496,2.44,6.879,3.802,5.11,18.366,8.404,3.987,3.96,4.107,13.974,7.306,9.023,8.975,11.756,3.99,6.721,5.92,12.753,22.168,10.855,5.703,4.033,8.994,4.929,7.366,4.172,9.009,4.76,6.787,10.306,14.358,4.995,7.003,4.442,5.096,15.918,16.06,5.574,9.379,5.588
PT0020,7.479,3.306,5.8,7.487,7.593,6.283,6.832,4.047,7.552,28.889,6.256,4.596,15.494,8.054,6.692,5.091,13.585,16.295,7.283,8.532,5.41,8.655,12.276,5.858,5.83,9.945,8.653,5.078,8.889,2.665,11.51,3.914,9.704,7.692,4.981,4.998,5.03,5.389,5.043,7.097,9.463,8.929,4.859,9.068,12.828,3.836,8.88,2.399,6.665,13.336,6.958,7.219
PT0021,12.459,3.753,4.739,6.662,6.886,4.38,8.052,2.369,5.171,5.828,5.989,10.584,8.048,9.973,7.135,5.896,5.743,4.788,7.117,12.893,5.739,5.675,18.135,8.323,4.19,10.1,6.778,4.464,6.288,10.106,12.535,5.252,6.155,7.725,15.992,16.928,7.262,6.188,15.788,3.617,5.419,18.046,7.311,13.065,7.479,11.887,6.172,6.114,3.26,8.478,7.8,4.286
PT0022,5.608,3.759,5.578,6.921,14.848,11.837,8.337,4.609,14.106,4.006,4.666,6.553,4.563,4.893,3.923,3.832,2.817,5.188,7.304,3.521,10.528,12.734,9.428,13.383,4.7,10.099,4.617,10.06,4.998,7.938,9.449,5.925,11.131,4.233,3.14,11.44,5.177,8.417,7.654,11.046,4.233,4.583,22.343,6.18,3.784,5.331,10.08,4.337,1.849,10.272,41.931,5.527
PT0023,5.391,16.675,7.088,9.376,7.148,5.999,22.893,6.351,10.915,5.79,7.234,6.598,9.732,7.251,4.561,2.801,13.035,4.676,8.504,8.89,5.969,7.563,4.879,14.091,9.551,12.834,4.588,5.44,15.022,10.201,7.144,3.812,8.659,6.487,6.829,10.052,25.375,11.258,9.555,22.96,4.44,18.374,10.565,9.64,10.953,7.855,7.034,14.465,14.014,3.851,10.476,7.3
PT0024,7.263,4.107,5.839,4.356,5.142,10.354,5.644,18.403,6.998,9.415,3.206,10.67,7.145,4.64,13.153,19.568,7.843,5.328,12.433,9.579,9.684,5.275,8.137,3.806,8.556,9.652,6.633,4.91,12.903,8.958,6.672,9.037,4.044,5.382,7.872,2.691,13.169,7.584,3.724,4.524,4.556,7.636,11.606,8.254,8.77,16.504,7.735,4.431,7.892,10.809,5.992,9.778
PT0025,9.599,10.106,10.06,7.377,7.791,5.95,13.846,5.046,3.149,5.416,8.635,5.458,12.813,8.875,5.593,6.92,4.195,10.175,10.427,9.933,13.532,2.854,8.364,8.773,7.681,12.071,8.466,5.444,3.147,2.657,4.15,6.045,4.221,8.232,9.748,7.012,6.608,8.998,7.001,7.537,16.774,8.818,6.731,6.649,14.653,3.99,3.172,4.366,12.927,3.073,16.477,5.071
PT0026,8.572,15.678,6.988,6.981,10.466,20.287,10.917,4.035,10.48,6.047,13.131,4.78,4.68,10.197,7.228,4.616,3.483,4.96,4.207,9.862,16.745,17.97,7.112,5.18,10.572,5.149,9.463,5.293,6.914,10.379,5.019,4.942,11.471,3.854,5.692,10.085,6.78,3.86,3.902,5.656,11.801,11.249,6.596,6.294,15.132,17.343,8.705,4.714,6.372,11.737,16.053,5.449
PT0027,4.95,7.177,7.275,5.884,5.088,5.492,8.824,2.693,11.604,8.537,12.432,4.939,11.355,7.614,6.252,10.07,8.972,13.674,11.281,8.928,3.27,2.049,4.385,5.977,4.722,9.852,9.955,10.807,6.229,7.265,11.174,3.838,11.504,7.144,8.211,3.051,14.541,7.835,10.286,2.071,7.883,23.157,11.436,8.565,10.596,5.709,5.689,7.741,4.194,8.148,7.98,11.257
PT0028,17.12,16.691,14.988,10.418,10.929,8.093,2.811,6.071,7.136,5.927,7.274,7.729,4.45,12.953,10.703,14.372,6.639,7.441,4.512,5.811,7.403,7.72,8.607,8.54,6.008,5.249,7.652,8.456,3.387,5.021,6.074,4.87,7.566,18.336,11.871,11.911,5.141,13.231,3.159,2.77,7.026,12.15,7.592,1.684,6.483,1.865,8.257,8.342,4.988,11.844,9.95,6.253
PT0029,4.227,19.187,8.496,4.041,12.798,28.548,13.944,6.419,3.883,7.812,14.504,5.115,8.212,10.667,12.854,3.073,7.901,4.684,8.984,11.097,4.276,16.408,4.123,9.744,16.651,4.085,7.508,3.493,8.067,11.733,9.085,9.471,15.729,11.572,7.793,4.278,6.371,5.248,10.576,18.2,6.89,18.609,16.705,6.911,2.638,7.846,6.063,8.834,12.977,16.08,9.087,8.151
PT0030,5.749,12.301,7.854,6.226,21.956,8.629,7.33,7.795,9.214,7.181,11.072,8.886,9.914,8.825,11.154,5.894,8.952,5.321,7.799,8.504,10.469,10.296,7.024,6.48,4.586,6.793,10.045,14.153,9.535,7.233,4.766,4.018,7.289,7.121,5.073,7.274,5.758,2.853,12.397,7.233,13.977,7.613,5.003,3.962,2.656,5.706,18.613,6.026,4.921,13.167,7.174,11.263
PT0031,8.114,25.276,7.213,4.959,6.459,4.98,7.957,3.513,12.63,4.325,13.374,4.817,6.722,13.034,9.397,8.485,6.12,3.738,17.049,10.606,8.611,5.466,6.335,4.873,13.989,10.538,5.368,12.46,7.611,16.629,23.86,12.011,6.493,15.221,11.191,8.306,7.362,10.363,9.7,16.663,7.389,10.489,4.704,4.242,6.718,3.692,14.203,6.897,9.707,4.596,4.789,7.464
PT0032,5.265,10.745,7.507,9.527,11.678,10.293,8.472,4.944,2.778,7.597,8.931,7.217,9.645,3.977,9.439,4.831,6.424,3.596,7.08,8.417,7.559,6.526,2.153,6.745,6.457,7.689,3.788,6.358,9.323,12.526,14.891,10.4,7.359,5.998,8.278,6.93,17.034,15.57,13.895,7.763,3.156,11.476,9.1,8.749,5.265,25.148,21.369,4.807,12.892,4.312,14.183,5.871
PT0033,11.014,6.359,9.642,5.935,5.258,13.319,7.921,2.33,9.865,4.118,7.524,12.674,5.197,7.214,4.152,9.237,10.213,12.843,7.098,6.409,5.826,5.5,9.749,4.45,9.602,18.647,11.258,4.492,17.766,4.287,7.175,8.778,9.913,10.825,4.736,7.263,5.262,10.614,15.94,11.591,6.919,3.797,3.533,6.093,7.191,5.845,5.551,5.033,3.164,8.488,12.534,13.584
PT0034,12.102,10.474,4.915,7.556,7.575,12.532,13.45,7.873,2.926,11.645,5.155,10.304,11.908,3.061,13.399,3.968,6.966,11.243,6.501,7.1,4.688,8.426,20.008,17.804,8.313,10.707,2.596,7.391,5.945,10.848,19.319,3.261,2.379,8.37,5.385,9.266,3.896,5.762,6.251,13.074,2.932,8.308,9.905,6.305,4.392,2.894,9.494,5.183,14.888,8.369,5.118,5.92
PT0035,6.222,7.335,12.759,8.84,8.287,3.828,6.565,3.303,7.693,4.611,3.561,7.958,5.444,7.279,5.575,5.281,6.411,4.52,11.379,9.695,3.261,7.173,6.149,3.418,6.505,9.437,9.784,5.511,13.765,7.382,9.734,5.169,8.05,5.847,19.077,13.121,4.126,9.947,5.671,5.83,5.788,8.213,14.831,6.988,4.416,7.131,6.842,4.17,8.599,8.729,9.229,8.336
PT0036,20.036,4.681,15.724,3.503,10.057,9.525,8.211,1.833,18.013,6.509,10.067,9.355,4.924,5.822,4.777,6.936,10.113,5.859,8.678,11.904,12.299,3.933,5.454,10.046,7.813,8.067,14.037,9.432,21.791,7.292,13.076,12.801,8.095,9.195,7.016,15.707,5.314,2.586,5.71,15.137,4.868,9.88,18.051,2.771,12.043,12.351,5.134,20.254,8.465,4.52,5.507,4.483
PT0037,10.378,4.629,12.813,9.123,8.113,3.573,8.708,12.929,7.743,2.971,7.01,14.667,6.607,11.048,6.075,9.133,2.755,16.011,6.531,2.922,6.87,3.593,11.346,7.87,11.923,3.881,3.941,7.173,1.778,6.87,6.952,6.276,4.921,22.925,9.934,14.506,3.62,7.632,7.228,14.618,3.0,16.619,4.011,3.231,8.271,11.257,9.743,7.251,7.63,4.163,4.455,16.921
PT0038,11.027,23.719,5.723,5.208,8.013,19.862,7.648,9.318,9.44,5.868,19.091,16.262,6.824,5.903,4.992,7.515,13.649,5.12,11.236,3.947,7.71,13.098,3.932,7.478,5.215,7.826,2.405,13.655,6.651,12.18,5.999,5.172,4.897,4.747,6.04,7.875,3.893,5.064,6.516,6.576,3.077,10.377,6.058,14.982,7.466,6.495,5.109,7.301,12.008,7.52,10.08,5.549
PT0039,4.455,6.192,3.337,6.558,6.073,8.226,12.442,8.628,6.271,3.939,5.239,6.136,4.605,5.353,8.796,5.24,9.186,8.137,21.035,3.336,8.904,3.954,7.379,4.416,4.6,7.717,4.806,3.288,14.509,4.986,15.423,5.278,13.948,4.687,7.087,2.707,4.754,12.947,6.452,7.8,7.308,8.563,11.029,4.377,16.32,5.949,23.239,6.013,6.07,15.863,7.503,16.128
PT0040,4.887,8.586,5.878,7.008,6.871,6.254,6.621,8.625,7.364,15.367,11.059,6.925,10.432,7.008,10.177,6.127,5.036,9.356,16.615,5.633,11.264,4.239,8.194,5.824,11.361,18.331,8.617,5.399,8.797,9.151,10.939,9.173,5.935,16.559,7.47,4.223,9.307,4.476,17.474,4.211,9.503,7.813,5.901,5.936,5.063,6.354,6.925,6.37,11.709,4.502,7.497,5.936
PT0041,7.218,7.514,7.851,10.776,9.22,12.062,14.034,4.314,24.499,6.896,4.712,6.04,6.584,6.88,13.224,2.556,6.748,6.616,15.616,5.274,19.452,23.54,5.605,6.282,6.065,5.128,4.537,8.394,5.508,3.475,11.453,3.018,6.459,5.267,5.976,5.785,8.229,20.499,7.523,16.888,9.3,7.68,9.188,9.404,9.054,3.994,10.567,16.389,8.248,8.87,8.558,6.208
PT0042,6.132,8.425,10.924,10.427,10.911,11.016,6.59,12.382,14.589,9.487,9.192,17.48,9.48,9.472,6.933,21.451,13.561,6.652,5.728,7.97,6.94,4.902,7.06,5.681,6.791,7.16,12.409,5.73,15.055,8.668,12.534,12.658,11.949,6.829,11.092,10.087,6.06,24.619,5.809,4.702,4.688,3.741,3.234,6.271,4.503,9.088,6.045,17.862,9.638,9.189,10.133,3.572
PT0043,5.735,7.15,6.659,16.85,11.181,4.67,5.374,4.286,6.295,3.073,7.153,4.728,3.32,4.77,5.481,6.003,9.699,6.18,7.127,6.273,10.514,3.855,4.897,6.583,6.737,5.303,10.203,5.943,11.536,3.974,8.06,8.5,4.047,5.777,12.844,13.266,8.726,19.539,15.499,7.777,4.586,6.648,6.966,6.882,5.831,8.69,6.833,5.771,5.866,6.233,10.538,3.969
PT0044,10.58,7.158,6.276,8.024,12.491,17.755,9.171,18.826,6.084,3.957,10.18,3.823,3.63,3.501,6.359,6.356,3.046,7.725,8.081,13.661,3.354,4.577,5.558,7.848,5.983,8.22,4.487,4.144,3.375,3.958,6.002,4.511,25.917,5.014,11.401,6.084,7.397,12.097,4.079,5.706,7.873,4.754,9.912,2.737,7.572,14.72,5.996,6.924,13.994,1.857,5.228,7.348
PT0045,2.182,5.219,15.339,5.913,13.545,7.913,15.208,8.105,7.458,6.727,9.295,8.43,6.132,3.345,4.182,8.414,4.452,3.393,3.224,5.407,6.234,10.838,10.007,5.949,3.009,3.2,10.86,18.682,11.179,7.226,9.159,10.279,5.168,9.147,6.287,5.27,6.847,5.097,6.989,6.084,11.909,3.752,5.301,3.987,6.485,4.45,14.87,18.786,10.495,9.744,8.03,11.087
PT0046,4.084,4.373,5.245,5.842,3.943,4.86,7.08,2.879,22.62,3.732,12.532,12.447,4.265,12.972,5.131,9.806,8.072,7.458,17.424,5.169,5.325,5.11,4.837,9.246,7.047,8.851,3.575,6.685,6.816,4.254,3.122,1.944,5.449,4.415,5.609,7.714,4.646,6.364,9.602,12.094,11.96,12.238,9.255,8.141,5.027,17.141,12.842,4.128,5.482,2.651,10.837,5.039
PT0047,4.96,6.131,12.273,10.025,7.07,15.859,5.464,11.179,8.219,12.892,7.942,6.571,6.555,3.937,18.513,8.748,17.892,7.961,3.676,4.9,5.545,6.904,5.577,10.68,5.871,7.678,5.874,10.28,8.237,12.686,7.907,4.076,3.63,4.353,2.873,8.145,10.803,12.027,10.121,8.285,7.611,4.633,7.667,7.918,6.16,13.259,9.463,7.563,7.737,6.793,4.063,6.884
PT0048,14.093,8.942,11.344,15.616,8.108,17.213,7.98,19.417,13.03,5.989,10.847,6.939,9.271,5.841,5.049,5.247,10.776,3.807,9.095,6.282,13.512,2.347,5.256,5.673,3.773,8.354,8.276,4.982,4.176,4.311,13.329,8.822,5.503,6.39,12.94,10.392,7.128,8.939,3.803,13.47,4.522,4.413,6.31,12.328,11.581,11.66,5.627,10.484,6.575,3.416,8.563,11.052
PT0049,5.429,21.856,3.796,8.663,6.452,15.557,9.823,6.375,6.137,7.876,15.529,3.616,12.231,4.254,5.843,3.212,6.686,9.081,4.064,7.825,8.004,5.436,9.297,10.696,5.588,28.577,14.387,5.816,9.749,16.205,6.745,15.995,4.635,9.428,6.56,10.791,6.521,5.365,3.599,7.567,10.269,3.229,4.558,10.26,4.762,6.623,7.759,5.32,9.242,4.914,4.159,6.818
PT0050,5.567,13.929,8.346,5.645,12.03,10.212,9.022,12.34,3.862,8.497,11.345,5.223,14.606,11.355,9.74,6.75,9.831,4.614,7.944,5.753,7.836,7.512,6.123,7.63,8.318,7.314,10.988,7.043,8.087,11.051,19.35,4.161,5.93,14.57,4.218,6.629,6.032,6.564,3.89,13.359,8.6,13.095,6.651,5.673,3.789,10.469,10.151,11.852,11.17,11.752,7.511,5.152
PT0051,6.398,20.139,5.543,8.399,11.506,5.582,8.858,6.512,14.512,6.786,6.95,19.329,10.378,5.558,8.173,4.939,7.437,2.015,11.222,4.664,7.885,7.559,4.885,5.606,17.515,9.727,15.699,16.359,4.689,7.75,6.353,3.714,4.289,7.12,4.356,2.141,7.795,4.887,4.73,4.427,5.555,14.937,8.663,7.636,15.512,6.304,4.814,3.56,3.12,2.585,11.109,7.541
PT0052,11.297,10.396,4.576,8.326,7.796,13.023,5.079,5.29,7.107,10.729,15.438,8.023,4.921,13.479,10.387,5.584,6.351,2.816,9.66,3.783,6.783,15.299,8.548,9.36,5.645,7.552,3.555,14.305,6.319,10.079,4.488,7.301,2.245,11.329,11.278,5.973,6.916,8.967,13.137,5.217,4.277,8.97,6.511,5.229,3.671,12.257,9.16,10.476,9.506,3.706,8.769,6.668
PT0053,7.935,8.001,2.942,7.502,8.782,19.675,16.326,1.992,4.955,5.235,7.021,8.9,9.224,5.186,4.824,7.357,8.919,7.623,4.893,7.897,6.795,9.482,2.826,12.904,14.416,13.168,37.205,20.258,15.06,8.185,10.15,7.913,13.492,14.128,6.642,1.673,3.912,7.115,6.897,1.34,5.608,6.292,10.17,9.954,6.163,7.29,3.059,15.625,12.57,5.052,7.602,5.908
PT0054,9.635,4.997,3.38,5.223,14.22,13.219,10.188,13.437,5.191,8.759,8.998,9.817,5.393,8.509,4.392,8.307,2.554,9.568,5.426,5.574,5.495,1.751,2.974,6.315,5.897,23.503,4.731,15.397,15.904,23.581,6.935,5.148,10.913,9.087,11.046,6.768,5.357,14.022,8.585,13.855,13.141,9.541,9.328,5.051,3.813,5.0,5.501,4.107,9.453,4.605,7.847,10.417
PT0055,4.491,8.875,8.922,2.258,7.146,18.074,4.847,5.797,5.249,13.222,6.359,10.239,9.188,10.687,13.461,14.06,12.192,5.894,11.804,4.531,5.804,3.276,8.378,2.979,9.321,17.886,8.484,15.147,3.576,9.461,10.318,5.073,10.4,10.918,8.362,28.182,3.984,10.573,4.684,12.633,14.184,9.562,4.153,9.149,4.513,6.65,5.709,9.505,7.204,7.354,4.683,2.702
PT0056,14.908,3.721,6.021,5.751,7.154,6.259,15.296,8.758,5.424,8.117,5.405,9.351,4.137,11.855,5.273,6.839,9.637,3.566,7.241,6.36,6.124,4.725,17.622,10.9,6.516,9.019,16.235,6.58,9.579,5.54,5.468,16.439,9.801,6.542,12.089,13.628,1.671,6.155,5.507,3.821,6.221,7.717,7.504,8.948,11.954,4.577,6.425,16.331,10.952,6.633,13.475,15.845
PT0057,8.778,7.092,8.325,12.081,13.633,13.146,11.655,4.109,3.371,7.769,3.489,4.09,13.73,4.074,6.923,3.101,5.935,6.708,7.916,8.468,6.924,6.343,5.796,12.162,10.739,4.025,9.567,5.2,6.445,8.935,9.979,4.725,10.089,3.293,8.659,8.836,3.767,14.737,10.0,4.623,8.11,8.418,12.347,14.553,10.295,10.667,18.058,5.851,4.765,7.801,4.402,7.985
PT0058,12.309,17.942,4.327,8.16,10.642,13.411,16.101,4.598,13.626,6.195,10.316,6.744,8.62,6.13,8.01,9.866,4.831,11.375,11.857,19.152,2.982,7.531,8.576,4.25,7.932,9.482,13.561,13.885,5.805,6.26,8.01,3.343,5.242,10.596,1.886,22.406,26.13,2.328,8.615,7.149,16.336,3.197,9.912,4.61,6.146,6.556,3.611,7.506,5.73,7.301,2.996,3.994
PT0059,13.377,8.788,6.224,2.635,14.785,3.626,4.12,12.666,8.978,7.515,4.28,20.039,6.075,7.065,3.045,11.709,4.058,7.097,2.17,15.665,7.837,10.031,3.79,6.916,6.092,3.318,3.973,5.144,8.446,7.151,8.588,6.122,31.766,4.149,14.831,4.374,2.973,3.584,6.226,4.441,3.663,7.919,6.335,7.251,15.239,4.852,8.138,6.981,5.389,7.359,6.13,8.956
PT0060,6.542,13.805,6.375,7.406,9.901,4.188,20.043,5.972,12.143,10.197,12.682,5.049,3.551,2.976,6.623,3.23,8.454,3.532,8.479,4.735,7.44,3.167,7.745,9.305,3.434,4.899,4.183,9.489,15.804,5.54,12.2,14.46,5.536,9.52,4.065,9.036,6.837,5.457,11.811,14.503,5.7,5.947,3.783,3.634,5.646,25.301,5.751,3.652,4.374,16.772,4.947,7.437
PT0061,6.628,6.609,3.417,3.119,11.654,6.139,9.368,5.928,6.201,6.468,19.188,13.385,8.069,10.456,5.341,9.97,7.951,9.119,13.916,5.836,9.322,2.415,8.02,2.268,12.108,5.662,5.9,5.408,9.815,5.692,5.141,10.639,4.06,4.827,15.987,9.641,10.54,9.617,5.341,18.183,6.544,6.638,7.813,11.834,12.372,7.53,4.326,7.18,8.738,4.379,9.458,12.456
PT0062,10.322,4.93,3.226,18.71,6.823,8.291,4.461,3.857,8.817,3.179,5.568,5.166,5.39,8.92,9.268,8.082,8.063,6.574,17.987,2.852,4.348,10.867,9.588,10.891,3.505,4.358,5.546,4.369,4.66,11.197,6.954,7.371,20.801,4.062,8.185,5.231,6.616,19.032,5.436,8.55,8.759,6.974,8.164,6.54,8.762,14.076,5.262,17.379,8.569,8.214,6.31,10.998
PT0063,8.923,6.997,9.035,8.076,5.592,10.463,12.507,8.048,8.045,7.917,12.967,14.09,7.951,9.464,6.263,5.606,17.267,6.66,10.48,2.842,4.76,4.442,5.144,10.583,5.472,7.621,7.804,7.525,7.684,7.247,13.201,3.928,6.107,6.812,5.218,5.547,6.833,10.985,5.769,8.767,3.169,3.681,12.982,5.277,12.181,5.464,3.579,6.931,9.09,6.833,4.418,6.733
